candidate_label,mean_knn_distance
ALB_Plate011_1_008008,0.0020702959
ALB_Plate001_2_016010,0.0020616353
AEC_Plate031_016024,0.0020466268
AEB_Plate023_003023,0.0020263076
AHA_Plate011_2_005023,0.0020086705
AEB_Plate054_008024,0.0019908547
AEB_Plate029_1_002013,0.0019861101
ALB_Plate011_2_012005,0.0019810498
AEB_Plate006_006001,0.00197528
ALB_Plate022_2_008011,0.0019489706
ALB_Plate023_2_016013,0.0019364596
AEC_Plate030_1_016002,0.0019284964
ALB_Plate012_004014,0.0019281447
AHA_Plate001_1_016023,0.0019004643
ALB_Plate018_007020,0.0018993318
ALB_Plate022_1_005016,0.0018952668
AEB_Plate001_016001,0.0018849015
AEC_Plate029_015016,0.0018788815
ALB_Plate001_1_016010,0.0018767833
ALB_Plate022_1_005001,0.0018753946
ALB_Plate012_007007,0.0018750608
AHA_Plate001_1_011003,0.0018714964
AEB_Plate030_1_010011,0.0018703162
AEC_Plate005_009011,0.0018671155
AHA_Plate001_2_003019,0.0018598258
ALB_Plate023_1_005024,0.0018596232
AEC_Plate029_005023,0.0018533409
AHA_Plate010_005009,0.0018531978
ALB_Plate001_2_003015,0.001851803
ALB_Plate011_2_014012,0.0018449544
ALB_Plate022_2_004013,0.0018429637
AEB_Plate024_014023,0.0018410444
ALB_Plate012_009005,0.0018404305
AEB_Plate023_003002,0.0018350541
AHA_Plate003_016015,0.0018325031
AHA_Plate009_1_014023,0.0018302978
ALB_Plate006_013022,0.0018283069
AHA_Plate008_013015,0.0018221021
ALB_Plate001_2_015019,0.0018133819
AHA_Plate001_2_007009,0.0018126369
ALB_Plate022_2_016023,0.0018099069
AHA_Plate009_1_010024,0.001800102
AHA_Plate011_1_003001,0.001800096
AHA_Plate001_2_011003,0.0017963469
ALB_Plate022_2_002002,0.0017916679
ALB_Plate020_006015,0.0017897487
ALB_Plate022_2_014023,0.0017895341
ALB_Plate011_2_001003,0.0017881751
AHA_Plate010_016002,0.0017771662
AEB_Plate002_016001,0.001774627
ALB_Plate018_015018,0.0017744184
AEB_Plate016_011005,0.00176543
AEB_Plate021_004001,0.0017599523
AHA_Plate001_1_004001,0.0017579377
ALB_Plate011_1_001003,0.0017517746
AEB_Plate027_010003,0.0017468691
AEB_Plate038_006001,0.0017354548
ALB_Plate001_2_016001,0.0017267704
ALB_Plate003_014021,0.00172382
AEB_Plate006_006002,0.0017219007
ALB_Plate006_008007,0.001718849
ALB_Plate025_005001,0.0017162025
AHA_Plate001_1_003001,0.001680535
AHA_Plate008_003011,0.0016804874
ALB_Plate002_2_008008,0.0016738474
AEC_Plate002_005001,0.0016649186
AHA_Plate011_1_014001,0.0016548872
ALB_Plate011_2_008008,0.0016349435
ALB_Plate025_014006,0.0016347229
AHA_Plate001_1_003024,0.0016346216
AHA_Plate010_001017,0.001634115
ALB_Plate002_1_016012,0.0016280592
ALB_Plate010_2_011005,0.0016271651
ALB_Plate003_010020,0.0016209602
ALB_Plate002_2_007004,0.0016165494
AEB_Plate001_016024,0.0016157866
AEB_Plate025_016024,0.0016150356
ALB_Plate001_1_016024,0.0016132414
ALB_Plate011_2_016022,0.0015909731
AHA_Plate008_010008,0.0015743017
ALB_Plate022_2_006011,0.0015728355
AEC_Plate031_016001,0.0015699982
ALB_Plate017_012011,0.0015591026
ALB_Plate018_005003,0.0015590906
ALB_Plate023_1_007013,0.0015585959
AHA_Plate001_2_006013,0.0015569091
AHA_Plate002_010007,0.0015556335
AEB_Plate024_006017,0.0015443802
AHA_Plate009_1_014001,0.0015400052
AEB_Plate057_005024,0.0015395165
ALB_Plate023_2_003011,0.0015395104
ALB_Plate022_2_016024,0.0015360474
AHA_Plate001_2_005001,0.0015351952
AHA_Plate001_2_015015,0.0015351534
AHA_Plate010_013019,0.0015328825
AHA_Plate011_2_005001,0.0015278399
AEB_Plate035_2_007012,0.0015189409
AHA_Plate001_1_011007,0.0015159547
ALB_Plate024_005002,0.0014988005
ALB_Plate022_2_016008,0.0014956712
ALB_Plate022_1_001020,0.0014925062
AEC_Plate030_2_006016,0.0014911055
ALB_Plate017_003005,0.0014900028
ALB_Plate015_015004,0.0014879524
AEB_Plate024_013023,0.0014852167
AEB_Plate019_010017,0.00147596
ALB_Plate010_2_009004,0.0014749349
AEC_Plate025_004001,0.0014734864
