"well_index","Plate001","Plate002","Plate003","Plate004","Plate005","Plate006","Plate007","Plate008","Plate010","Plate009","Plate011"
"010017","Mianserin HCl","Flunarizine 2HCl","Torcetrapib","Mirabegron","Hexylresorcinol","Sulbutiamine","Frovatriptan Succinate","Fosamprenavir calcium salt","?","Glycylglycine","?"
"010018","Terbinafine","5-hydroxytryptophan (5-HTP)","Cefonicid sodium","Oxaprozin","Levocetirizine Dihydrochloride","Penicillin G Procaine","abemaciclib (LY2835219)","?","?","?","?"
"010019","Pizotifen Malate","Cyproterone Acetate","Apalutamide?(ARN-509)","Sodium Picosulfate","Pentylenetetrazol","Piroctone Olamine","Metronidazole Benzoate","Besifovir","?","Timonacic","?"
"010020","Methocarbamol","Gastrodin","4-Biphenylacetic acid","Deoxycorticosterone acetate","Indole-3-carboxylic acid","Tizanidine","Ascomycin (FK520)","?","?","?","?"
"010021","Vecuronium Bromide","Orphenadrine Citrate","Cobicistat (GS-9350)","Diphemanil Methylsulfate","Cefixime","Minoxidil sulphate","Edrophonium chloride","Boldine","?","Ozagrel sodium","?"
"010022","Nicotinic Acid","Sorbitol","Nortriptyline hydrochloride","Epinastine HCl","Pyridoxal 5-phosphate monohydrate","Hydroxylammonium chloride","Erythromycin Cyclocarbonate","?","?","?","?"
"010023","ETO_500","ETO_500","ETO_500","ETO_500","ETO_500","ETO_500","ETO_500","ETO_500","ETO_500","?","?"
"010024","ETO_500","ETO_500","ETO_500","ETO_500","ETO_500","ETO_500","ETO_500","ETO_500","ETO_500","?","?"
"011001","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","?","?"
"011002","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","?","?"
"011003","Bortezomib (PS-341)","Pyrazinamide","Rotundine","Moxidectin","Nicaraven","Taurolidine","Midecamycin","Ruboxistaurin (LY333531 HCl)","Cefoselis Sulfate","Leucovorin Calcium Pentahydrate","Azasetron HCl"
"011004","Sumatriptan Succinate","Lafutidine","Paroxetine HCl","Toltrazuril","Diflunisal","Raltegravir potassium","Proguanil","Vitexin","?","Spermine Tetrahydrochloride","?"
"011005","Panobinostat (LBH589)","Thiotepa","Amfebutamone (Bupropion) HCl","Ramosetron Hydrochloride","Carteolol HCl","Propiverine hydrochloride","Tocofersolan","Fumagillin","Methyldopa","Polymyxin B sulphate","Piperaquine phosphate"
"011006","Zileuton","Famotidine","Cabazitaxel","Sertraline HCl","5,5-Dimethyloxazolidine-2,4-dione","Doxapram","Amodiaquine","Gelsemine","?","L-Proline","?"
"011007","Entinostat (MS-275)","Tetrabenazine (Xenazine)","Pramipexole","Avibactam sodium","Anidulafungin (LY303366)","Usnic acid","α-Terpineol","Tenofovir Alafenamide (GS-7340)","Sarafloxacin HCl","Cytarabine","?"
"011008","Doxercalciferol","Rivastigmine Tartrate","Pravastatin sodium","Ronidazole","Sodium sulfadiazine","Lactitol monohydrate","Acetamide","Fabomotizole hydrochloride","?","Lodoxamide Tromethamine","?"
"011009","Cabozantinib (XL184, BMS-907351)","Acetylcholine Chloride","Imatinib (STI571)","Lumefantrine","Salmeterol Xinafoate","Fimasartan","Cilastatin","Favipiravir (T-705)","Ketanserin","Ticlopidine HCl","?"
"011010","Fludarabine","Gabexate Mesylate","Rupatadine Fumarate","Sodium 4-Aminosalicylate","Ciclesonide","Nimustine Hydrochloride","(S)-(−)-Limonene","Dithiothreitol (DTT)","?","Creatine monohydrate","?"
"011011","Lenvatinib (E7080)","Fenoprofen Calcium","Mycophenolic acid","Norcantharidin","Benzthiazide","Methylcobalamin","Emedastine Difumarate","Venetoclax (ABT-199, GDC-0199)","Capmatinib (INCB28060)","Fudosteine","?"
"011012","Lactulose","Cisatracurium Besylate","Naloxone HCl","Spiramycin","Parecoxib","Propyphenazone (4-Isopropylantipyrine)","Pyridoxal 5′-phosphate hydrate","Ipragliflozin L-Proline","?","Gadoxetate sodium","?"
"011013","Fulvestrant","Butoconazole nitrate","Phenoxybenzamine HCl","Sophoricoside","Meclocycline Sulfosalicylate","Teprenone","Diphenylpyraline hydrochloride","Riociguat (BAY 63-2521)","Sodium Houttuyfonate","NAD+","?"
"011014","Dapagliflozin","Mestranol","Atovaquone","Ifenprodil Tartrate","Rebeprazole sodium","Gamithromycin","Acid Yellow 36","Monomethyl Fumarate","?","Gadoversetamide","?"
"011015","Melatonin","Curcumin","Scopolamine HBr","Helicide","Oxprenolol HCl","Isoprinosine","Drofenine Hydrochloride","Irbinitinib (ARRY-380, ONT-380)","Ebastine","Hygromycin B","?"
"011016","Sulfasalazine","Tebipenem Pivoxil","Pyridoxine HCl","Eprosartan Mesylate","Gluconolactone","Cefmetazole sodium","Methyl cinnamate","Barnidipine","?","Oxytocin (Syntocinon)","?"
"011017","Bleomycin sulfate","Diphenhydramine HCl","Naphazoline HCl","Harmine hydrochloride","Pimozide","Dihydralazine sulphate","Methyl linolenate","Tirofiban Hydrochloride","Amantadine","Amikacin disulfate","?"
"011018","Clotrimazole","Aliskiren Hemifumarate","Biotin (Vitamin B7)","Desvenlafaxine","Rivastigmine","Bendazac","Terephthalic acid","Maleic acid","?","Carperitide Acetate","?"
"011019","Topotecan HCl","Felodipine","Econazole nitrate","Glucosamine sulfate","Mepenzolate Bromide","Difloxacin hydrochloride","Phthalylsulfathiazole","Letermovir(AIC246)","Brigatinib (AP26113)","L-Arginine HCl (L-Arg)","?"
"011020","Sulfameter","(-)-Epigallocatechin Gallate","Estradiol valerate","Sodium Phenylbutyrate","Saxagliptin hydrate","Methyl Aminolevulinate Hydrochloride","Tetraethylammonium bromide","Myosmine","?","Spermine","?"
"011021","Leflunomide","Tropisetron HCl","Tolterodine tartrate","Guaiacol","Bephenium Hydroxynaphthoate","Milbemycin Oxime","lurasidone","Harringtonine","?","Cangrelor Tetrasodium","?"
"011022","Triamcinolone Acetonide","Artesunate","Tylosin tartrate","Pentoxyverine Citrate","(-)-Menthol","Phenolphthalein","L-(+)-Arabinose","Apatinib","?","Potassium sorbate","?"
"011023","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","?","?"
"011024","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","FLA_1.2","?","?"
"012001","HES_5","HES_5","HES_5","HES_5","HES_5","HES_5","HES_5","HES_5","HES_5","?","?"
